20173816-70,那完全是瞎说; 是对我的诽谤
20173816-86,你以为这就到极限了吗; 还有更厉害的呢
20173816-99,这已经足够了; 把这些交给真正需要的人吧
20173816-115,这个生词怎么发音; 你能教教我吗
20173816-145,他做什么事都很现实; 不会在无谓的事上浪费时间
20173816-198,我只是无聊地发了一会儿呆; 他就发现了
20173816-231,今晚你想加班吗; 如果不想就赶紧走
20173816-299,我想你还是不太明白我的意思; 我再说一遍
20173816-315,后来怎么样了; 大家都很期待
20173816-325,他一点责任心都没有; 每次都把事情搞砸
20173816-329,你就是个胆小鬼; 这点事情都不敢做
20173816-354,我们不得不承认这个社会真的变质了
20173816-357,我热爱地球; 热爱我们赖以生存的家园
20173816-364,这一次不能代表未来; 未来掌握在我们手中
20173816-388,他们作为人脆弱的部分; 基本是全部被忽视
20173816-412,他刚来的时候; 对我充满愤怒; 经常不理我
20173816-426,他的童年成长背景塑造了行为模式和人格特质
20173816-444,那些我无法陪你一同参与的未来; 会在远方默默祝福
20173816-455,父母的作用要远远胜过大人心目中的上级和同事
20173816-457,在烈日下给他这样一个课目训练; 一般家长是意识不到的
20173816-462,孩子们就其自尊心而言; 与大人没有差别
20173816-484,真诚而具体的欣赏和夸奖能调动孩子的各种积极性
20173816-485,你正确对待了孩子的时候; 也就正确对待了自己
20173816-538,每两个画面之间都有相关的图案提示和衔接
20173816-585,我要是再用点功就好了; 无谓失误太多了
20173816-588,所有的学习都是围绕着固化的阶级跨越而进行的
20173816-640,我在地图的什么位置上; 我迷路了
20173816-665,诸位有什么忌口的吗; 先提出来我再点菜
20173816-675,你收获了面对困难的勇气; 克服困难的信心以及丰富的经验
20173816-680,如果他开始把我自行车扶起来; 就不会有后来的冲突
20173816-681,不讲礼貌; 很容易使人对你产生讨厌的感觉; 会造成很多恶果
20173816-695,这是人类生存和发展的物质基础和社会物质财富的源泉
20173816-698,在生活中; 一点细节也可以决定着你的品性和习惯
20173816-706,青少年的网络安全问题; 已成为影响社会安定、学校教育等的隐患
20173816-728,我想对您说的话还有很多很多,就让我在以后的生活中慢慢来对您倾诉吧
20173816-761,我们可以在朴素、平凡的语言中体会到一些深刻的道理
20173816-778,她的脸变成了红色; 她感到自己心跳的厉害
20173816-784,她趴在床上哭了; 这是她从小到大第一次哭
20173816-821,这件衣服怎么样; 适不适合我
20173816-851,希望小作者平日加强积累; 提高写作能力
20173816-853,不想在将来的某天憎恨如今不是那么努力的自己
20173816-862,我保证; 明天一定还钱
20173816-880,吃的数量少、品种少、没有个人挑选的余地
20173816-893,不但可以从中发现自身的知识漏洞; 还能找到得分的突破口
20173816-920,世界上美丽的东西千千万万; 却没有一样比年轻更为美丽
20173816-954,晚饭想吃什么; 咖喱炒饭怎么样
20173816-956,你能帮我准备餐具吗
20173816-968,这些名言告诉我们要经历种种挫折才会成功; 所以生活需要挫折
20173816-978,在成长的道路中; 我们常常会遇到突如其来的困难和种种艰辛
20173816-992,升入高中已经一年半的时间; 我始终无法忘记刚进入高中时的情景
20173816-1019,早上我一边吃饭一边无精打采的翻阅报纸。
20173816-1028,草莓可以预防坏血病和动脉硬化。
20173816-1062,中国是世界四大文明古国之一。
20173816-1072,她穿着火红色的绒绒衣; 套一条豆绿色的短裙子。
20173816-1106,我家订阅了三家报社的报纸。
20173816-1122,在某些地方; 情况会受环境因素影响。
20173816-1130,我正在修建世界上最宏伟的高楼大厦。
20173816-1131,在纽约的时候; 我每天乘地铁上班。
20173816-1134,我带着班里的学生去看篮球比赛。
20173816-1135,世界上最大的岛屿是哪个？
20173816-1136,他是我姐姐和姐夫从孤儿院领养来的。
20173816-1149,这次我成功签下了材料合同; 真是出乎我的意料。
20173816-1167,保费的计划基础都是相同的起点。
20173816-1177,站着的人到右边去; 走着的人到左边来。
20173816-1181,我们的说话速度是每分钟120-180个字。
20173816-1190,请您在破费一点儿给孩子买双球鞋吧。
20173816-1206,你可否谈谈贵方所希望的付款条件？
20173816-1224,波音是世界航空事业的霸主。
20173816-1246,他在附近的海里打捞一些鱼虾; 然后拿去集市上卖。
20173816-1260,这个研究所里学历最高的是博士。
20173816-1269,他的皮鞋裂了好多口子。
20173816-1277,动物园里有很多小动物。
20173816-1287,他不到半小时就把望远镜做好了。
20173816-1296,试验人员从一群大学生中招募了十个志愿者。
20173816-1300,他开始慢慢适应了海岛上的生活。
20173816-1317,男孩如愿应征入伍成为一名军人。
20173816-1322,小婷最喜欢做的事情是看明星的演出。
20173816-1347,女孩找到一份在街上卖报的工作。
20173816-1349,他下车看看桥; 发现桥中间已经断裂了。
20173816-1360,大学四年他每次上课都抢第一排的位子。
20173816-1372,心中有了合理的想法; 就立即行动。
20173816-1381,这位医生一身白衣大褂; 戴着一副眼镜。
20173816-1384,父亲是残疾人; 靠卖烧饼维持一家的生计。
20173816-1398,这位雕塑大师小时候家里很贫穷。
20173816-1406,你拿什么样的态度对待别人; 别人就会拿什么样的态度对待你。
20173816-1411,“香料之王”香子兰最初只产于墨西哥。
20173816-1415,他经常虚心的向老师和同学们请教问题。
20173816-1425,读一本好的人物传记可以使人受益良多。
20173816-1433,第一次做礼拜能让人心里平静。
20173816-1451,天气暖和了; 每天带我儿子出去玩。
20173816-1454,参加一次游行活动; 感受激情与狂野。
20173816-1457,很多人都喜欢听相声赶走烦恼和忧愁。
20173816-1468,天葬台在藏族朋友心中是神圣的境地。
20173816-1474,下班后他喜欢去花鸟市场散步。
20173816-1487,她睡觉喜欢盖柔软的蚕丝被。
20173816-1492,选对高跟鞋; 可以展现迷人的风采。
20173816-1514,自我期望是自我教育的内在目的和内在动力。
20173816-1525,他把审美教育置于其他各种教育之上。
20173816-1528,审美教育始于形式美的教育。
20173816-1532,经常的体育锻炼可以促进身体的生长发育。
20173816-1534,增强学生体质是学校体育的根本任务。
20173816-1542,一位经济学家提出了人力资本理论。
20173816-1576,学业成就评价的方法主要有观察法; 调查法; 考察和考试几种形式。
20173816-1766,学校教育的主要工作是教学。
20173816-1590,他提出闻见知行结合的学习过程和方法。
20173816-1769,他开启了教育的心理学研究。
20173816-1627,儿童认知发展的源泉是主客体之间的相互作用活动。
20173816-1772,教学过程是一种特殊的认识过程。
20173816-1782,难点不一定是重点; 难点是针对学生感到困难而言的。
20173816-1801,犀牛有着像盔甲一样厚厚的皮。
20173816-1638,他提出了成功智力理论。
20173816-1813,震旦鸦雀被称为“鸟中大熊猫”。
20173816-1844,在饭桌上人们的情绪比在办公室放松。
20173816-1662,创造性的心理结构具有多维性。
20173816-1845,人在职场; 应该学着多赞美别人。
20173816-1663,当感知过的事物不在面前时; 在脑中再现出来的形象叫表象。
20173816-1847,学习管理的相关知识; 争取应用到实践中。
20173816-1664,分合法是解决团体问题的方法。
20173816-1856,做错事坦白认错的人会给人留下谦虚诚实的印象。
20173816-1672,历史研究方法包括文献法; 内容分析法等。
20173816-1858,电脑系统在使用一段时间后会产生各种垃圾文件。
20173816-1891,帮助但不支配儿童的成长。
20173816-1703,教育的根本特点是有目的的培养人。
20173816-1704,内在效度是指自变量与因变量的因果联系的真实程度。
20173816-1931,骑自行车应走右侧自行车道。
20173816-1744,蜂鸟是世界上最小的鸟。
20173816-1941,毕达哥拉斯学派高度重视数学。
20173816-1946,他创立了科学研究的新方法：归纳法。
20173816-1759,我国高等教育实现了从精英教育到大众化教育的跨越式发展。
20173816-1950,恩物是他创造的一套供儿童使用的教学用品。
20173816-1966,他首次提出实验教育学的名称。
20173816-1990,成人的恐吓容易使儿童产生恐惧。
20173816-1996,李悝写了中国第一部刑法法典《法经》。
20173816-2005,他靠着自己努力在市中心买了一处房子。
20173816-2011,撒拉族主要聚居在青海循化撒拉族自治县。
20173816-2013,蒙古族是一个历史悠久而又富于传奇色彩的民族。
20173816-2073,中国岛屿最多的省是浙江省。
20173816-2082,汉初统治者汲取秦亡的教训; 对农民采取轻徭薄赋的休养生息政策。
20173816-2123,中国最冷的村庄是漠河。
20173816-2152,白洋淀是中国海河平原上最大的湖泊。
20173816-2157,中国人工林面积居世界首位。
20173816-2159,世界上填海造陆最多的国家是日本。
20173816-2191,平遥古城以整座古城申报世界文化遗产获得了成功。
20173816-2272,白族有自己的语言; 属汉藏语系藏缅语族白语支。
20173816-2301,保安族主要从事农业生产; 兼营牧业和手工业。
20173816-2306,藏族是中国古老的民族之一。
20173816-2307,教师上课不宜佩戴夸张首饰。
20173816-2314,朝鲜族的先民; 是从朝鲜半岛迁入中国东北的朝鲜族人。
20173816-2351,美国人的政治共识是追求经济增长。
20173816-2386,老年人晨练前应先吃点东西。
20173816-2431,干嚼食物可以防止大脑老化。
20173816-2491,胡萝卜有降血压的作用。
20173816-2496,做菜时勾芡有助于保护肠胃。
20173816-2499,红薯长黑斑了就不能吃了。
20173816-2528,学业发展是残疾儿童发展的核心。
20173816-2540,中秋节源自嫦娥奔月的故事。
20173816-2559,立春是二十四个节气的头一个节气。
20173816-2578,帮助实现员工的理想有助于留住人才。
20173816-2584,好名声是一个员工最值得珍惜的。
20173816-2588,哭泣是人体将情绪毒素排出体外的一种基本方式。
20173816-2598,父母不要把心愿强加给孩子。
20173816-2610,他总是密切关注孩子的成长。
20173816-2615,李宁品牌以“一切皆有可能”作为品牌口号。
20173816-2633,他她女鞋的产品定位为中高档时尚女鞋。
20173816-2650,人在13或14岁时; 才有记忆多条信息的能力。
20173816-2652,人在16或17岁时才有同时处理多项任务的能力。
20173816-2655,永旺商场在天津有很多家。
20173816-2689,要夸奖孩子的每一点进步。
20173816-2707,学习过程是他们最早进行的研究内容。
20173816-2716,他建立了第一个心理学实验室。
20173816-2727,南头古城有1730多年的悠久历史。
20173816-2745,他的《时间简史》在世界上的销量惊人。
20173816-2749,无论做什么事他都很认真。
20173816-2761,长跑是日本所有学校冬季早上的活动。
20173816-2765,指南针可以用来判别方位。
20173816-2772,创造力是认识和改造世界的特有方式。
20173816-2786,看书的时候眼睛不要离书太近。
20173816-2789,人的情绪是心理状态的反映。
20173816-2892,从小培养孩子的读书习惯非常重要。
20173816-2893,南美洲亚马孙平原是是世界最大的平原。
20173816-2899,阿根廷出口的牛肉占世界第一。
20173816-2903,亚马孙河是世界上水量最大、流域面积最广的大河。
20173816-2917,世界上最大的半岛是阿拉伯半岛。
20173816-2925,世界上面积最大的高原是巴西高原。
20173816-2951,他和小朋友在玩捉迷藏。
20173816-2965,当你放弃的时候; 失败就成为了事实。
20173816-2983,广告公司利用微笑来吸引顾客。
20173816-3010,这个旅店的设计很别致。
20173816-3028,他有一辆黑色的车。
20173816-3069,他要离开英国了。
20173816-3088,总统候选人到场了。
20173816-3089,我喜欢翻唱歌曲。
20173816-3102,你一定要小心陷阱。
20173816-3105,他虽然有钱; 但是并不快乐。
20173816-3121,我们从小一起长大。
20173816-3139,我学的专业是市场营销。
20173816-3155,我要去参加高中同学聚会。
20173816-3164,我想探索宇宙的奥秘。
20173816-3203,枪击事件发生之后; 引起了社会的广泛关注。
20173816-3217,我要去游乐园玩。
20173816-3248,警察把他逮捕了。
20173816-3251,她迟到了一分钟。
20173816-3286,请大家关注一下今天的新闻。
20173816-3299,我想吃西餐。
20173816-3309,我喜欢看小说。
20173816-3325,住宅区里停着很多车。
20173816-3335,玫瑰即玫瑰; 花香无意义。
20173816-3389,历史总是惊人的相似。
20173816-3436,请带好随身物品。
20173816-3466,请告诉我你旷课的理由。
20173816-3472,他的嘴唇干裂脱皮。
20173816-3498,我们之间一定有误会。
20173816-3510,我们活过的样子; 宇宙会记得。
20173816-3526,我喜欢的东西都很贵; 想去的地方都很远。
20173816-3541,请尽快支付罚金。
20173816-3545,她讲课的风格独特; 深受学生的喜爱。
20173816-3551,她有一头柔顺的秀发。
20173816-3577,仙人掌不需要经常浇水。
20173816-3579,他把我们的合照锁在了柜子里面。
20173816-3629,宇宙的产生源于一次大爆炸。
20173816-3641,观众请开始投票吧。
20173816-3696,你要学会换位思考。
20173816-3715,我会做错事、发脾气、有时还很难缠。
20173816-3720,他不愿主动与人打交道; 却会热情的迎接并珍惜每一个对自己主动示好的人。
20173816-3725,这起家暴事件的影响恶劣。
20173816-3744,他得了癌症。
20173816-3754,他经常说梦话。
20173816-3760,没有规矩不成方圆。
20173816-3777,谁都不容易; 学会体谅他人。
20173816-3788,他对特殊教育很感兴趣。
20173816-3800,他的求知欲很强。
20173816-3832,不要听信谣言; 要坚定自己的立场。
20173816-3844,其实没有什么是低谷; 所有的低谷都应是充电积蓄力量！
20173816-3845,我喜欢欧美的文化。
20173816-3876,考试作弊是可耻的。
20173816-3883,我喜欢低着头走路。
20173816-3895,葡萄酒很好喝。
20173816-3899,这次访问取得了显著成果。
